39, Male, United-States, Adm-clerical, Bachelors, Never-married, State-gov, White
50, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Self-emp-not-inc, White
38, Male, United-States, Handlers-cleaners, HS-grad, Divorced, Private, White
53, Male, United-States, Handlers-cleaners, 11th, Married-civ-spouse, Private, Black
28, Female, Cuba, Prof-specialty, Bachelors, Married-civ-spouse, Private, Black
37, Female, United-States, Exec-managerial, Masters, Married-civ-spouse, Private, White
49, Female, Jamaica, Other-service, 9th, Married-spouse-absent, Private, Black
52, Male, United-States, Exec-managerial, HS-grad, Married-civ-spouse, Self-emp-not-inc, White
31, Female, United-States, Prof-specialty, Masters, Never-married, Private, White
42, Male, United-States, Exec-managerial, Bachelors, Married-civ-spouse, Private, White
37, Male, United-States, Exec-managerial, Some-college, Married-civ-spouse, Private, Black
30, Male, India, Prof-specialty, Bachelors, Married-civ-spouse, State-gov, Asian-Pac-Islander
23, Female, United-States, Adm-clerical, Bachelors, Never-married, Private, White
32, Male, United-States, Sales, Assoc-acdm, Never-married, Private, Black
34, Male, Mexico, Transport-moving, 7th-8th, Married-civ-spouse, Private, Amer-Indian-Eskimo
25, Male, United-States, Farming-fishing, HS-grad, Never-married, Self-emp-not-inc, White
32, Male, United-States, Machine-op-inspct, HS-grad, Never-married, Private, White
38, Male, United-States, Sales, 11th, Married-civ-spouse, Private, White
43, Female, United-States, Exec-managerial, Masters, Divorced, Self-emp-not-inc, White
40, Male, United-States, Prof-specialty, Doctorate, Married-civ-spouse, Private, White
54, Female, United-States, Other-service, HS-grad, Separated, Private, Black
35, Male, United-States, Farming-fishing, 9th, Married-civ-spouse, Federal-gov, Black
43, Male, United-States, Transport-moving, 11th, Married-civ-spouse, Private, White
59, Female, United-States, Tech-support, HS-grad, Divorced, Private, White
56, Male, United-States, Tech-support, Bachelors, Married-civ-spouse, Local-gov, White
19, Male, United-States, Craft-repair, HS-grad, Never-married, Private, White
39, Male, United-States, Exec-managerial, HS-grad, Divorced, Private, White
49, Male, United-States, Craft-repair, HS-grad, Married-civ-spouse, Private, White
23, Male, United-States, Protective-serv, Assoc-acdm, Never-married, Local-gov, White
20, Male, United-States, Sales, Some-college, Never-married, Private, Black
45, Male, United-States, Exec-managerial, Bachelors, Divorced, Private, White
30, Male, United-States, Adm-clerical, Some-college, Married-civ-spouse, Federal-gov, White
22, Male, United-States, Other-service, Some-college, Married-civ-spouse, State-gov, Black
48, Male, Puerto-Rico, Machine-op-inspct, 11th, Never-married, Private, White
21, Male, United-States, Machine-op-inspct, Some-college, Never-married, Private, White
19, Female, United-States, Adm-clerical, HS-grad, Married-AF-spouse, Private, White
48, Male, United-States, Prof-specialty, Assoc-acdm, Married-civ-spouse, Self-emp-not-inc, White
31, Male, United-States, Machine-op-inspct, 9th, Married-civ-spouse, Private, White
53, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Self-emp-not-inc, White
24, Male, United-States, Tech-support, Bachelors, Married-civ-spouse, Private, White
49, Female, United-States, Adm-clerical, HS-grad, Separated, Private, White
25, Male, United-States, Handlers-cleaners, HS-grad, Never-married, Private, White
57, Male, United-States, Prof-specialty, Bachelors, Married-civ-spouse, Federal-gov, Black
