60,Female,United-States,Protective-serv,Some-college,Widowed,Self-emp-not-inc
20,Female,United-States,Other-service,HS-grad,Never-married,Private
34,Female,United-States,Adm-clerical,Bachelors,Married-spouse-absent,Self-emp-not-inc
19,Female,United-States,Other-service,HS-grad,Never-married,Private
33,Male,United-States,Tech-support,HS-grad,Never-married,Self-emp-not-inc
35,Female,United-States,Adm-clerical,Assoc-voc,Divorced,Private
31,Male,United-States,Prof-specialty,Bachelors,Married-civ-spouse,Self-emp-not-inc
23,Male,United-States,Armed-Forces,HS-grad,Never-married,Federal-gov
44,Male,United-States,Sales,Bachelors,Never-married,Self-emp-not-inc
45,Male,United-States,Protective-serv,HS-grad,Married-civ-spouse,Local-gov
41,Male,United-States,Craft-repair,HS-grad,Married-civ-spouse,Self-emp-not-inc
45,Female,United-States,Handlers-cleaners,Assoc-voc,Divorced,Self-emp-not-inc
26,Male,Mexico,Craft-repair,HS-grad,Married-civ-spouse,Self-emp-inc
58,Female,United-States,Farming-fishing,HS-grad,Divorced,Self-emp-not-inc
35,Male,United-States,Other-service,Bachelors,Married-civ-spouse,Self-emp-not-inc
22,Male,United-States,Craft-repair,HS-grad,Never-married,Private
60,Male,United-States,Protective-serv,HS-grad,Separated,Self-emp-not-inc
28,Female,United-States,Prof-specialty,Bachelors,Married-spouse-absent,Self-emp-not-inc
25,Male,United-States,Craft-repair,HS-grad,Never-married,Private
46,Male,Dominican-Republic,Machine-op-inspct,Preschool,Separated,Self-emp-not-inc
45,Male,United-States,Craft-repair,Assoc-voc,Married-civ-spouse,Self-emp-not-inc
